sample	subject	16	51	168	7	8	167	12	33	61	193	189	62	15	187	18	34	49	1	26	39	80	37	171	60	100	22	28	64	31	186	175	25	185	2	30	24	40	38	65	57	81	32	9	170	180	6	48	195	41	196	142	52	44	43	179	182	166	47	29	63	54	58	191	176	190	42	36	17	11	177	23	194	10	192	27	181	82	21	14	5	184
prel_1	0	5.25	4.25	4	3	6.25	4.5	4.75	3.75	4.5	5	4.75	5.25	4.5	NA	6.25	2.25	3.25	3.5	5	NA	4	NA	4	5.75	5.25	3.75	NA	6.25	4.25	NA	5.5	3.75	NA	5	5	4	4.75	5.75	3.5	3	5.75	1.5	4.25	5.5	4.25	5.25	6.75	4	4.75	5.25	NA	NA	4	NA	5	NA	NA	NA	2.5	NA	1.5	4.5	5.25	NA	4	4.25	4.75	1.5	4.25	3.25	NA	6	3.75	3.5	2.5	3	4.75	4.75	0	4.5	4.75
prel_2	0	4.75	4.5	3.5	3.5	6	4.5	5.5	3.25	5.5	5	3.75	4.75	4.25	NA	7	2.75	3.75	4	5	NA	4	NA	4.25	5.75	4.75	4	NA	6.75	4.25	NA	5.5	4	NA	5.25	4.5	3.5	4.75	5.75	3.5	3.5	6.25	1.5	4	4.5	4.25	5.5	6	3.75	5.25	5	NA	NA	4.25	NA	5	NA	NA	NA	2.25	NA	1.75	4.25	6.5	NA	3.75	4.75	4.75	1.75	3.5	3.75	NA	5.75	3.75	3.25	2.5	3	4	4.25	0	4.25	4
prel_3	0	4.75	4.5	3.75	2.75	6.5	5	5	4.25	4.75	5	5.25	5.25	4.75	NA	6.75	3	3.75	4.5	5	NA	5	NA	4	6.75	4.75	4	NA	6.5	4.25	NA	6.25	3.75	NA	5.5	5.25	4.25	5.25	6	3.75	3.25	5.25	2	4.25	5.25	4	5.5	6.5	3.75	4.75	5.75	NA	NA	4.25	NA	5	NA	NA	NA	2.5	NA	1.5	4.5	5.5	NA	3.25	4.75	5	2.25	4.25	4	NA	6.25	3.5	3.25	2.5	3.25	5	5	0	4.5	4.75
prel_4	0	5.25	4.25	4	3	6.25	4.5	4.75	3.75	4.5	5	4.75	5.25	4.5	NA	6.25	2.25	3.25	3.5	5	NA	4	NA	4	5.75	5.25	3.75	NA	6.25	4.25	NA	5.5	3.75	NA	5	5	4	4.75	5.75	3.5	3	5.75	1.5	4.25	5.5	4.25	5.25	6.75	4	4.75	5.25	NA	NA	4	NA	5	NA	NA	NA	2.5	NA	1.5	4.5	5.25	NA	4	4.25	4.75	1.5	4.25	3.25	NA	6	3.75	3.5	2.5	3	4.75	4.75	0	4.5	4.75
prel_5	0	5	4.5	4.5	3.25	5.5	4.75	5.25	4.5	5	5.25	3.5	4.75	4.5	NA	7	2.25	3.75	4.75	4.75	NA	4.75	NA	4	6.25	5.25	4.25	NA	6.75	4.25	NA	6.5	4	NA	5	5	4	4.75	6	4	3	6.5	1.5	3.75	4.5	4.5	5.25	6.75	4.25	4.75	6	NA	NA	4	NA	5	NA	NA	NA	2.5	NA	1.75	4.5	5	NA	4	5	5	2.25	4.25	4.25	NA	5.5	3.5	3.5	2.5	3.25	4.75	4.75	0	4.5	4.75
prel_6	0	4.25	4.25	3.25	2.5	5.75	4.25	4.5	3.25	5.25	4.75	3.75	5	4	NA	7	1.75	3.5	3.25	4.25	NA	4.25	NA	3.75	5.5	5	4	NA	6.75	4	NA	5.25	3.5	NA	5.25	4.25	4.25	4.5	5.5	3.25	3.25	5.25	1.5	3.75	4.25	4	4.5	6	3.25	4.5	5	NA	NA	3.5	NA	5	NA	NA	NA	2.25	NA	1.5	4.25	5.75	NA	4	4.25	4.5	1.25	2.75	3.75	NA	5.5	3.5	2.5	2	3.5	4.5	4.25	0	4.25	4.75
prel_7	0	4.25	4.25	3.25	2.5	5.75	4.25	4.5	3.25	5.25	4.75	3.75	5	4	NA	7	1.75	3.5	3.25	4.25	NA	4.25	NA	3.75	5.5	5	4	NA	6.75	4	NA	5.25	3.5	NA	5.25	4.25	4.25	4.5	5.5	3.25	3.25	5.25	1.5	3.75	4.25	4	4.5	6	3.25	4.5	5	NA	NA	3.5	NA	5	NA	NA	NA	2.25	NA	1.5	4.25	5.75	NA	4	4.25	4.5	1.25	2.75	3.75	NA	5.5	3.5	2.5	2	3.5	4.5	4.25	0	4.25	4.75
prel_8	0	5	4.5	4.5	3.25	5.5	4.75	5.25	4.5	5	5.25	3.5	4.75	4.5	NA	7	2.25	3.75	4.75	4.75	NA	4.75	NA	4	6.25	5.25	4.25	NA	6.75	4.25	NA	6.5	4	NA	5	5	4	4.75	6	4	3	6.5	1.5	3.75	4.5	4.5	5.25	6.75	4.25	4.75	6	NA	NA	4	NA	5	NA	NA	NA	2.5	NA	1.75	4.5	5	NA	4	5	5	2.25	4.25	4.25	NA	5.5	3.5	3.5	2.5	3.25	4.75	4.75	0	4.5	4.75
prel_9	0	4.5	4.75	2.5	2.25	3	4.25	1.75	3.5	3.25	4.25	2	4	5	NA	5.5	2.5	4.25	3.5	5.5	NA	3.25	NA	3.5	4.25	5.75	3.25	NA	6	4	NA	5	3.25	NA	3.75	3.5	4.25	4.25	4.75	3.25	3	1	2.25	4.75	4.25	3.5	4.25	6	3	3.25	4	NA	NA	4	NA	5	NA	NA	NA	2.5	NA	1.5	5.5	5.25	NA	3.25	5.75	3.25	1.25	4	3.5	NA	6	3.75	1.25	2.75	3.5	4.25	4.5	0	4.25	4.25
