sample	subject	297	274	276	294	275	259	298	278	279	299	247	214	293	269	272	260	283	282	287	291	273	268	290	234	211	254	257	235	240	236	216	288	280	300	231	245	246	215	261	212	218	217	253	262	239	244	251	249	252	248	256	232	221	220	238	237	241	243	242	250	258	58	191	176	190	42	36	17	11	177	23	194	10	192	27	181	82	21	14	5	184
prel_1	1	2.25	3.25	6	2.5	0	2	3.25	1.75	0	5.75	2.5	5.25	3.666666667	1	4.25	2.25	2	3.5	3.25	3.75	3.25	5.25	1.25	3.25	1.25	1.25	2.75	0	3.5	4.75	4.5	4.25	3	0.5	3	5	1	4.75	3	4.75	4	3.75	4.25	2.25	6.75	3	3.25	1	1.75	3.75	3.75	0	3	0	4.75	3	1.75	3.25	2	4.25	4	5	6	4	3	9	3	3	7	6	5	6	5	5	8	5	6	5	NA	6	6
prel_2	1	2	4	6.25	2.5	0	2	2.75	1.25	0	6	2.5	5	3.333333333	1	3.75	3	1.5	4	3.5	3.75	4	5.25	0.5	3.25	1.5	1.25	2.5	0	4.75	4.25	4.25	4.5	3	0.5	4.25	4	1.25	5	3.25	4.25	3.25	4.25	4.5	3.25	6.75	3.5	3.75	1	1.75	4	4	0	4	0.5	4.75	3.25	1.75	4	1.75	3.5	3.5	5	4	3	2	10	0	1	0	2	1	5	1	1	6	5	3	1	6	4	2
prel_3	1	1.75	4.25	6	2.5	0	2.25	3.25	1.75	0	7	2.75	5.25	4	1	4.75	3.75	2	4.25	3.75	4.5	3.75	5.25	1.5	3.5	1	1.5	2.25	0	4.25	5.25	4.5	4.5	3.25	0.75	4.25	5	1.75	5	3.25	4.25	4	3.75	4.5	2.25	7	3	3.25	1	2.25	3.25	3.75	0	5.25	0.5	5	3.5	1.75	3.5	2	3.75	4.25	4	2	3	0	9	1	1	3	2	0	1	4	2	3	2	2	1	6	5	2
prel_4	1	2.25	3.25	6	2.5	0	2	3.25	1.75	0	5.75	2.5	5.25	3.666666667	1	4.25	2.25	2	3.5	3.25	3.75	3.25	5.25	1.25	3.25	1.25	1.25	2.75	0	3.5	4.75	4.5	4.25	3	0.5	3	5	1	4.75	3	4.75	4	3.75	4.25	2.25	6.75	3	3.25	1	1.75	3.75	3.75	0	3	0	4.75	3	1.75	3.25	2	4.25	4	5	4	5	7	8	5	2	3	8	1	7	1	2	6	6	6	4	8	6	2
prel_5	1	2.25	4	6.75	2.75	0	1.75	3	2.25	0	5.75	2.75	5.25	4.333333333	1	4.75	3.25	1.75	3.25	3.5	3.75	4	5	1.5	3.5	1	1.75	2.75	0	4.75	5.25	4.75	4.5	3	0.75	4.25	4.25	1.5	4.75	3.5	4.75	3.5	3.75	4.5	2.75	7	3	3.5	1	2	4.25	3.75	0	4.75	0.5	4.75	3.25	1.75	3.5	1.75	4	4	6	7	6	5	10	5	2	9	5	2	7	3	5	6	8	4	3	10	5	7
prel_6	1	1.75	3.5	6	2.75	0	2	2.75	2	0	5.5	1.5	5.25	4.666666667	1	4.5	2.75	1.75	3	3	3.25	3	5.25	1.25	3.5	1.25	1.25	2.75	0	4.75	4.5	4	4.25	2.75	0.5	3.25	3.75	1.5	4.5	3	4	3.25	3.5	4.25	2.5	6.5	2.5	3.25	1	2.25	3.75	3.75	0	4	0.5	4.75	3	1	3.75	1.5	2.5	3.25	6	5	4	5	4	4	3	10	6	7	6	5	6	6	4	6	6	10	6	3
prel_7	1	1.75	3.5	6	2.75	0	2	2.75	2	0	5.5	1.5	5.25	4.666666667	1	4.5	2.75	1.75	3	3	3.25	3	5.25	1.25	3.5	1.25	1.25	2.75	0	4.75	4.5	4	4.25	2.75	0.5	3.25	3.75	1.5	4.5	3	4	3.25	3.5	4.25	2.5	6.5	2.5	3.25	1	2.25	3.75	3.75	0	4	0.5	4.75	3	1	3.75	1.5	2.5	3.25	4	4	4	1	7	2	3	7	7	1	4	3	1	3	5	4	2	7	5	6
prel_8	1	2.25	4	6.75	2.75	0	1.75	3	2.25	0	5.75	2.75	5.25	4.333333333	1	4.75	3.25	1.75	3.25	3.5	3.75	4	5	1.5	3.5	1	1.75	2.75	0	4.75	5.25	4.75	4.5	3	0.75	4.25	4.25	1.5	4.75	3.5	4.75	3.5	3.75	4.5	2.75	7	3	3.5	1	2	4.25	3.75	0	4.75	0.5	4.75	3.25	1.75	3.5	1.75	4	4	6	5	5	4	4	3	3	1	9	5	7	7	1	3	6	4	4	8	5	2
prel_9	1	0.5	3.5	3.75	2.25	0	2.75	3.5	1.5	0	5	1	4.75	5	1	3.75	3.25	2.25	2.5	3	3	2.5	4.25	0.75	3.25	0.5	0.75	2.25	0	3.5	4.5	5	3.75	3	0	3.5	3.75	2	4.5	3.5	4.5	4.25	2.75	4.5	1.5	5.75	1.75	1.5	1	3.5	1.5	3.25	0	1.75	0	4.75	1.25	1.25	2.75	0.75	3.25	2.5	4	3	6	0	5	5	0	0	3	3	2	4	3	5	4	5	3	0	5	1
prel_10	1	0.5	4	4.25	2.25	0	3.25	3.5	1.5	0	5.75	1.5	4.75	5.5	1.25	3.25	3.75	2	3	3.25	3.5	3	4	0.5	3	1	0.25	2	0	4.25	5	5	4	3	0	3.5	4.5	2.25	4.25	3	4	4.25	3	4.5	1.75	5.5	1.75	2.25	1	3	2.5	3.25	0	3.75	0.5	4.25	1.75	1.75	3.5	1	3.75	2.75	4	2	4	7	8	2	1	2	7	2	5	2	6	7	5	7	4	0	6	7
prel_11	1	0.5	3.5	3.75	2.25	0	2.75	3.5	1.5	0	5	1	4.75	5	1	3.75	3.25	2.25	2.5	3	3	2.5	4.25	0.75	3.25	0.5	0.75	2.25	0	3.5	4.5	5	3.75	3	0	3.5	3.75	2	4.5	3.5	4.5	4.25	2.75	4.5	1.5	5.75	1.75	1.5	1	3.5	1.5	3.25	0	1.75	0	4.75	1.25	1.25	2.75	0.75	3.25	2.5	4	3	5	3	7	0	1	2	2	3	4	2	4	7	4	5	4	0	4	5
prel_12	1	0.5	4	4.25	2.25	0	3.25	3.5	1.5	0	5.75	1.5	4.75	5.5	1.25	3.25	3.75	2	3	3.25	3.5	3	4	0.5	3	1	0.25	2	0	4.25	5	5	4	3	0	3.5	4.5	2.25	4.25	3	4	4.25	3	4.5	1.75	5.5	1.75	2.25	1	3	2.5	3.25	0	3.75	0.5	4.25	1.75	1.75	3.5	1	3.75	2.75	6	2	4	1	5	3	1	3	3	1	5	6	1	4	4	4	2	6	5	2
prel_13	1	0.75	3.75	3.75	2.25	0	3.5	3.25	1.25	0	5.5	1.25	4.75	5.5	1.25	3.75	4.25	2	2.5	2.75	3	3	4.25	0.75	3	0.5	0.75	2.25	0	5.25	4.5	5.25	4	3	0	3	3.75	1.25	4.25	3.75	4.25	4	2.75	4.5	2	5.5	1.75	2.5	1	3	2.5	3.5	0	3.5	0.5	4.75	1.5	1.5	3.25	1.25	3.5	3.25	7	5	7	2	9	3	2	5	5	4	5	2	3	7	5	5	3	0	5	7
prel_14	1	0.5	4	4.25	2.25	0	2.5	3.25	1.75	0	6.5	1.5	4.5	4.5	1.25	3.5	3.75	2.5	3.25	3	3	3.5	4.25	0.75	3.25	1	0.75	2.25	0	4.75	4.5	5.25	4.25	3	0	3.75	4	2.25	4.5	3.5	4.5	4.25	3.25	4.25	2	5.5	1.75	2.5	1	3.5	2.5	3.5	0	3.5	0.5	4.5	1.75	1.75	3.5	1	4	2.75	6	3	5	3	10	4	2	7	4	2	6	3	2	6	5	4	1	4	4	7
