sample	target	subject	297	274	276	294	275	259	298	278	279	299	247	214	293	269	272	260	283	282	287	291	273	268	290	234	211	254	257	235	240	236	216	288	280	300	231	245	246	215	261	212	218	217	253	262	239	244	251	249	252	248	256	232	221	220	238	237	241	243	242	250	258
prel_1	1	1	16	18	14	12	10.5	17.5	18	8.5	4	19.5	19.5	8.5	18.5	9	3.5	6	12	15.5	10.5	10	14.5	1.5	17.5	3	10	17.5	14.5	16	19.5	16.5	17.5	12.5	10	10.5	10	8	18	13	17.5	16	19.5	11.5	19	17.5	14	7.5	6	3	7	13	18	12	13.5	16	17	19	17.5	19	16.5	20	15
prel_2	1	1	6	13	4	2	10.5	11.5	10	14	1.5	1.5	1.5	18	2	15.5	3.5	1	12	6	3	2	1	6.5	6	3	2	3.5	5.5	3	3	9.5	11	4.5	16.5	5	1.5	3.5	1.5	5.5	1	2	1.5	1	6	7.5	1.5	2.5	6	3	7	7.5	8	2.5	2	6	1	2.5	1.5	2.5	10.5	6.5	2.5
prel_5	1	1	6	6.5	18	2	10.5	3	14.5	2.5	7.5	6.5	5.5	8.5	2	9	14	6	16	11.5	3	15	2.5	1.5	6	10.5	2	9.5	5.5	13	7	9.5	4	12.5	4	13.5	4.5	3.5	5	5.5	5	2	6.5	4	6	3.5	7	5	2.5	13.5	7	3.5	8	8	2	13.5	4	6.5	12.5	2.5	15	2	8
prel_6	1	1	16	6.5	10	12	10.5	7.5	20	17	14	6.5	10	18	12.5	19.5	19.5	3	12	3	18	19	7	6.5	13	10.5	5.5	9.5	14.5	5.5	12	9.5	11	12.5	10	17.5	13.5	16.5	5	13	15	7.5	14	11.5	15	7.5	1.5	15	2.5	17.5	16.5	18	18	8	13.5	6	10.5	6.5	12.5	17	10.5	6.5	12.5
prel_9	1	1	16	13	18	12	10.5	3	18	20	20	19.5	15	8.5	20	15.5	19.5	19	4.5	19	3	19	7	15	19	18	19	14	5.5	16	19.5	19.5	11	12.5	4	17.5	13.5	20	13	1	19.5	16	19.5	17	6	19.5	14	20	14.5	17.5	16.5	7.5	18	20	19	19.5	17	14.5	20	19	19	16	19
prel_10	1	1	16	13	18	12	10.5	7.5	4.5	19	15.5	17.5	17.5	8.5	16	9	8.5	12	4.5	11.5	18	15	14.5	15	20	10.5	16.5	17.5	14.5	3	18	19.5	11	18.5	16.5	17.5	10	16.5	13	18.5	19.5	16	14	19	15	19.5	14	18.5	14.5	5.5	20	13	18	15.5	19	19.5	17	19	19	19	19	14	17
prel_13	1	1	6	13	18	12	10.5	14.5	10	8.5	18	17.5	19.5	8.5	18.5	9	8.5	12	4.5	15.5	3	5	7	6.5	15.5	3	19	20	5.5	19	16	9.5	4	4.5	16.5	17.5	17.5	19	5	18.5	15	7.5	14	11.5	6	14	19.5	13.5	18	13.5	7	7.5	8	19	13.5	13.5	17	19	12.5	15	19	18.5	2.5
prel_14	1	1	6	6.5	14	12	10.5	7.5	14.5	8.5	12	15.5	15	8.5	7	4	14	14.5	12	11.5	18	10	7	15	6	10.5	16.5	9.5	5.5	19	12	9.5	11	12.5	10	20	20	13	8.5	13	10.5	16	6.5	11.5	6	11	19.5	13.5	18	8.5	7	3.5	8	15.5	7	6	17	14.5	7.5	15	16.5	6.5	19
prel_17	1	1	6	2	4	12	10.5	19	4.5	8.5	3	6.5	5.5	18	16	9	3.5	16.5	12	8.5	10.5	10	18.5	15	6	10.5	10	9.5	14.5	9	7	2.5	4	4.5	16.5	5	4.5	1.5	13	5.5	5	2	6.5	11.5	6	3.5	14	7.5	12	8.5	7	18	8	2.5	7	13.5	4	14.5	4.5	2.5	6	16	2.5
prel_18	1	1	6	18	4	12	10.5	20	14.5	8.5	18	13	15	15.5	12.5	15.5	8.5	19	19.5	15.5	18	15	18.5	20	6	3	5.5	9.5	1.5	5.5	7	9.5	17.5	18.5	4	13.5	10	1.5	13	13	10.5	16	6.5	19	6	17.5	14	16.5	18	13.5	16.5	18	8	15.5	17	17.5	10.5	14.5	4.5	9	10.5	11	12.5
prel_3	0	1	6	18	10	2	10.5	7.5	14.5	17	7.5	6.5	10	15.5	7	15.5	3.5	14.5	19.5	19	18	5	11.5	6.5	6	10.5	14	14	5.5	9	16	16.5	15	18.5	16.5	5	7.5	8	5	18.5	5	7.5	14	11.5	15	16	3.5	2.5	9	5.5	7	13	18	2.5	7	6	4	2.5	12.5	9	10.5	13	8
prel_4	0	1	6	13	4	12	10.5	11.5	18	2.5	7.5	13	5.5	8.5	7	9	8.5	16.5	17.5	15.5	10.5	19	7	6.5	6	18	2	3.5	14.5	19	4	16.5	4	4.5	4	13.5	17.5	8	13	13	13	7.5	6.5	4	15	1	7	10.5	6	17.5	16.5	1.5	8	2.5	13.5	6	10.5	14.5	12.5	9	13.5	18.5	8
prel_7	0	1	16	6.5	4	12	10.5	16	4.5	14	7.5	13	3	8.5	7	4	17.5	9.5	4.5	3	10.5	15	18.5	15	6	18	10	3.5	14.5	1	7	2.5	17.5	4.5	16.5	5	4.5	13	18	18.5	17.5	16	14	11.5	15	11	3.5	7.5	12	13.5	1	7.5	8	8	13.5	6	10.5	10	17.5	9	6	2	8
prel_8	0	1	6	13	4	12	10.5	11.5	10	8.5	12	11	10	8.5	7	15.5	14	3	4.5	6	10.5	15	2.5	6.5	6	10.5	5.5	3.5	14.5	3	2	9.5	4	4.5	4	5	17.5	8	5	5.5	10.5	16	6.5	11.5	6	3.5	7	12	9	8.5	13	7.5	8	15.5	2	6	4	10	12.5	2.5	6	16	15
prel_11	0	1	16	6.5	18	12	10.5	3	1	17	12	6.5	10	8.5	7	2	8.5	8	4.5	3	10.5	10	14.5	6.5	15.5	10.5	14	9.5	14.5	9	16	9.5	4	12.5	16.5	10.5	13.5	8	20	5.5	5	7.5	14	4	6	14	7	2.5	12	8.5	7	18	8	15.5	7	6	10.5	6.5	4.5	9	6	6.5	8
prel_12	0	1	6	6.5	10	12	10.5	3	4.5	2.5	1.5	1.5	1.5	2	12.5	1	1	3	4.5	1	10.5	1	7	6.5	13	3	10	3.5	1.5	9	1	2.5	4	4.5	10	5	7.5	8	1.5	13	5	7.5	1.5	2	6	14	14	16.5	2.5	1	7	1.5	8	8	7	6	10.5	2.5	12.5	9	2	6.5	2.5
prel_15	0	1	6	13	10	12	10.5	17.5	4.5	14	18	15.5	17.5	8.5	16	9	17.5	12	12	19	10.5	5	14.5	15	13	18	19	17.5	14.5	16	12	16.5	17.5	18.5	10	5	17.5	13	13	5.5	10.5	16	14	11.5	15	11	14	10.5	18	11	16.5	7.5	8	15.5	7	17.5	20	14.5	12.5	9	13.5	11	19
prel_16	0	1	16	20	14	12	10.5	14.5	10	8.5	15.5	6.5	13	20	7	15.5	14	19	17.5	11.5	10.5	10	18.5	15	17.5	18	14	17.5	14.5	13	12	9.5	20	12.5	4	13.5	13.5	16.5	8.5	5.5	15	16	14	19	15	7.5	14	18.5	18	20	16.5	18	8	8	13.5	13.5	10.5	10	7.5	15	6	11	15
prel_19	0	1	16	2	4	12	10.5	3	4.5	8.5	7.5	6.5	5.5	1	12.5	4	14	9.5	4.5	6	3	5	11.5	15	6	10.5	10	3.5	14.5	9	12	2.5	11	4.5	4	5	1.5	16.5	13	5.5	5	7.5	14	6	6	3.5	14	2.5	2.5	3	7	13	8	8	19	6	4	6.5	1.5	9	2	6.5	8
prel_20	0	1	16	2	10	12	10.5	11.5	10	2.5	7.5	6.5	10	8.5	2	19.5	8.5	6	12	8.5	10.5	5	7	15	6	10.5	5.5	14	14.5	13	7	9.5	11	12.5	16.5	5	4.5	8	18	13	5	7.5	3	11.5	NA	7.5	7	7.5	9	17.5	7	13	8	8	7	6	10.5	2.5	4.5	9	2	2	8
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
